	CGRS	Probability
x245	4.224472053	0.279
x246	4.218379272	0.28
x247	4.212295141	0.281
x248	4.206223739	0.282
x249	4.200162965	0.283
x250	4.194110551	0.284
x251	4.188068566	0.285
x252	4.182038934	0.286
x253	4.176017381	0.287
x254	4.17000424	0.288
x255	4.164004909	0.289
x256	4.158013384	0.29
x257	4.152029604	0.291
x258	4.146058668	0.292
x259	4.14009636	0.293
x260	4.134141537	0.294
x261	4.128198042	0.295
x262	4.12226416	0.296
x263	4.116337511	0.297
x264	4.110420907	0.298
x265	4.10451468	0.299
x266	4.098615444	0.3
x267	4.092725187	0.301
x268	4.086845864	0.302
x269	4.080973299	0.303
x270	4.075108852	0.304
x271	4.069255701	0.305
x272	4.063409083	0.306
x273	4.057569915	0.307
x274	4.051742224	0.308
x275	4.045920847	0.309
x276	4.040106433	0.31
x277	4.034303508	0.311
x278	4.028506685	0.312
x279	4.022716504	0.313
x280	4.016937668	0.314
x281	4.011164729	0.315
x282	4.005398269	0.316
x283	3.999642862	0.317
x284	3.993893155	0.318
x285	3.988149907	0.319
x286	3.982417285	0.32
x287	3.976690175	0.321
x288	3.970969635	0.322
x289	3.965259172	0.323
x290	3.959554038	0.324
x291	3.953855709	0.325
x292	3.948166794	0.326
x293	3.942483031	0.327
x294	3.936806421	0.328
x295	3.931138459	0.329
x296	3.925475478	0.33
x297	3.919820098	0.331
x298	3.914172508	0.332
x299	3.908529735	0.333
x300	3.902895102	0.334
x301	3.897267319	0.335
x302	3.891644193	0.336
x303	3.88602983	0.337
x304	3.880421301	0.338
x305	3.874817277	0.339
x306	3.86922271	0.34
x307	3.863632897	0.341
x308	3.858048051	0.342
x309	3.852472201	0.343
x310	3.846900578	0.344
x311	3.841334827	0.345
x312	3.835776794	0.346
x313	3.830222851	0.347
x314	3.824675731	0.348
x315	3.819135011	0.349
x316	3.813598247	0.35
x317	3.8080693	0.351
x318	3.8025454	0.352
x319	3.79702537	0.353
x320	3.791514101	0.354
x321	3.786006541	0.355
x322	3.780504005	0.356
x323	3.775008727	0.357
x324	3.769517039	0.358
x325	3.764031548	0.359
x326	3.7585518	0.36
x327	3.753075524	0.361
x328	3.747606635	0.362
x329	3.742141965	0.363
x330	3.73668121	0.364
x331	3.731227927	0.365
x332	3.725777896	0.366
x333	3.720333083	0.367
x334	3.714894112	0.368
x335	3.709458289	0.369
x336	3.704028982	0.37
x337	3.6986039	0.371
x338	3.693182183	0.372
x339	3.687767632	0.373
x340	3.682356025	0.374
x341	3.676949168	0.375
x342	3.67154778	0.376
x343	3.666149242	0.377
x344	3.660756818	0.378
x345	3.655368195	0.379
x346	3.649982828	0.38
x347	3.644603917	0.381
x348	3.639227669	0.382
x349	3.6338561	0.383
x350	3.628489267	0.384
x351	3.623125012	0.385
x352	3.617766823	0.386
x353	3.612411691	0.387
x354	3.607060036	0.388
x355	3.601713831	0.389
x356	3.596370033	0.39
x357	3.591031134	0.391
x358	3.585695979	0.392
x359	3.580363304	0.393
x360	3.5750366	0.394
x361	3.569712139	0.395
x362	3.564391603	0.396
x363	3.559075317	0.397
x364	3.553761202	0.398
x365	3.548452399	0.399
x366	3.543146186	0.4
x367	3.537843096	0.401
x368	3.5325446	0.402
x369	3.527248125	0.403
x370	3.52195616	0.404
x371	3.516667135	0.405
x372	3.511380582	0.406
x373	3.506098827	0.407
x374	3.500818948	0.408
x375	3.495542918	0.409
x376	3.490270049	0.41
x377	3.484999132	0.411
x378	3.479733093	0.412
x379	3.474468794	0.413
x380	3.469207805	0.414
x381	3.463950082	0.415
x382	3.458694044	0.416
x383	3.453442588	0.417
x384	3.448192876	0.418
x385	3.442946039	0.419
x386	3.43770248	0.42
x387	3.432460479	0.421
x388	3.427222586	0.422
x389	3.421986492	0.423
x390	3.416752926	0.424
x391	3.411522569	0.425
x392	3.406293649	0.426
x393	3.401068443	0.427
x394	3.39584502	0.428
x395	3.390623849	0.429
x396	3.385405755	0.43
x397	3.38018898	0.431
x398	3.374975591	0.432
x399	3.36976391	0.433
x400	3.364554267	0.434
x401	3.359347513	0.435
x402	3.354141968	0.436
x403	3.348939531	0.437
x404	3.343738682	0.438
x405	3.338539703	0.439
x406	3.333343388	0.44
x407	3.328148174	0.441
x408	3.322955828	0.442
x409	3.31776492	0.443
x410	3.312575748	0.444
x411	3.307388984	0.445
x412	3.302203219	0.446
x413	3.297020111	0.447
x414	3.291838266	0.448
x415	3.286658048	0.449
x416	3.281479964	0.45
x417	3.276302781	0.451
x418	3.271128059	0.452
x419	3.265954416	0.453
x420	3.260782302	0.454
x421	3.255612041	0.455
x422	3.250442585	0.456
x423	3.245275405	0.457
x424	3.240109113	0.458
x425	3.234944259	0.459
x426	3.229780975	0.46
x427	3.224618404	0.461
x428	3.219457923	0.462
x429	3.214298144	0.463
x430	3.20913971	0.464
x431	3.203982569	0.465
x432	3.198826087	0.466
x433	3.19367143	0.467
x434	3.188517337	0.468
x435	3.183364483	0.469
x436	3.178212661	0.47
x437	3.173061482	0.471
x438	3.167911778	0.472
x439	3.162762551	0.473
x440	3.157614443	0.474
x441	3.152467123	0.475
x442	3.147320411	0.476
x443	3.142174847	0.477
x444	3.137029675	0.478
x445	3.131885479	0.479
x446	3.126741854	0.48
x447	3.121598777	0.481
x448	3.116456546	0.482
x449	3.111314625	0.483
x450	3.10617351	0.484
x451	3.101032774	0.485
x452	3.095892502	0.486
x453	3.090752803	0.487
x454	3.085613332	0.488
x455	3.080474468	0.489
x456	3.075335825	0.49
x457	3.070197528	0.491
x458	3.065059564	0.492
x459	3.059921746	0.493
x460	3.054784305	0.494
x461	3.04964696	0.495
x462	3.044509809	0.496
x463	3.039372785	0.497
x464	3.034235833	0.498
x465	3.029098982	0.499
x466	3.023962139	0.5
x467	3.018825308	0.501
x468	3.013688431	0.502
x469	3.008551522	0.503
x470	3.003414462	0.504
x471	2.998277331	0.505
x472	2.993139991	0.506
x473	2.988002469	0.507
x474	2.982864775	0.508
x475	2.977726714	0.509
x476	2.972588501	0.51
x477	2.967449824	0.511
x478	2.962310864	0.512
x479	2.957171558	0.513
x480	2.952031701	0.514
x481	2.946891611	0.515
x482	2.941750769	0.516
x483	2.936609574	0.517
x484	2.931467826	0.518
x485	2.926325377	0.519
x486	2.921182612	0.52
x487	2.916038775	0.521
x488	2.910894547	0.522
x489	2.905749527	0.523
x490	2.900603684	0.524
x491	2.895457389	0.525
x492	2.89030978	0.526
x493	2.885161714	0.527
x494	2.880012591	0.528
x495	2.874862548	0.529
x496	2.869711872	0.53
x497	2.8645597	0.531
x498	2.859406985	0.532
x499	2.854252925	0.533
x500	2.84909787	0.534
x501	2.843941978	0.535
x502	2.838784428	0.536
x503	2.833626248	0.537
x504	2.828466415	0.538
x505	2.823305525	0.539
x506	2.818143582	0.54
x507	2.81297983	0.541
x508	2.807815357	0.542
x509	2.802648912	0.543
x510	2.797481359	0.544
x511	2.792312524	0.545
x512	2.787141736	0.546
x513	2.781970134	0.547
x514	2.776796236	0.548
x515	2.771621179	0.549
x516	2.766444609	0.55
x517	2.76126594	0.551
x518	2.756086361	0.552
x519	2.750904164	0.553
x520	2.745720751	0.554
x521	2.740535599	0.555
x522	2.735348193	0.556
x523	2.730159777	0.557
x524	2.724968431	0.558
x525	2.719775796	0.559
x526	2.714581211	0.56
x527	2.709384197	0.561
x528	2.704186069	0.562
x529	2.698984721	0.563
x530	2.693781984	0.564
x531	2.688577111	0.565
x532	2.683369602	0.566
x533	2.678160873	0.567
x534	2.672948663	0.568
x535	2.667734929	0.569
x536	2.662518906	0.57
x537	2.657300001	0.571
x538	2.652079764	0.572
