GeneSymbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
Sample102	4.996986578	7.00270111	4.132324264	7.156867096	4.432003629	9.89307795	8.878081409	5.585266582	8.080876732
Sample103	4.870881608	7.334649782	3.564984391	7.045804824	3.97935828	10.11779381	8.830833532	5.834593054	8.455798283
Sample104	9.051991229	8.557086818	7.947935413	7.142994668	3.910939988	9.954181313	11.15339262	8.695931945	8.870528421
Sample105	4.75008501	7.427609072	4.017621844	7.634661874	3.934317387	10.14692664	8.707334558	5.30544386	8.359020194
Sample106	4.731337563	7.464023546	3.664097869	6.032353638	3.855239426	7.954907737	8.911690441	6.189655869	7.826237786
Sample107	5.713457401	7.716157188	3.749070086	7.087450421	4.246679387	10.08007686	8.814564503	5.888969077	8.195816655
Sample108	8.428094265	7.964302511	5.074920925	7.537719889	3.874966222	10.36960194	9.405427314	6.925323724	8.584788778
Sample109	5.225170914	7.151454591	3.972317737	7.801425422	4.051401737	10.17561513	8.872083794	5.775447514	8.162687293
Sample110	5.289073435	7.567317512	3.497831446	6.855667148	3.960777934	9.939037736	8.771941714	6.609917629	8.143242186
Sample111	5.22698293	7.675967733	3.488608275	8.159356275	4.127481241	9.604303391	9.251018375	5.586654498	8.34075324
Sample112	4.905535789	6.068709089	3.468519253	6.112721143	3.993308995	9.893643168	8.849333546	4.454305315	7.898755804
Sample113	5.555392968	7.01822053	3.532159195	6.52670541	3.961446536	10.17986269	8.841886876	5.970725914	8.100844065
Sample114	5.768600287	7.645584141	4.204761652	8.384861061	4.020993526	9.976625954	9.120750671	7.181643812	8.34091601
Sample115	5.509851875	7.814660051	3.705994627	6.864534428	3.931155014	9.952662617	8.640373131	6.869973384	8.45029996
Sample116	6.42487447	7.979887547	4.222114357	9.053492616	4.028768708	9.755888685	8.071510146	6.209829873	7.894587918
Sample117	6.189351379	9.335574672	3.80711968	6.96104795	3.878247053	10.62198972	9.315055891	4.106490498	8.602143496
Sample118	5.562429376	6.704552651	3.551874835	6.693501165	4.123928102	9.245927978	8.921773526	5.594032278	8.128999734
Sample119	4.384904406	8.440098914	3.57784434	6.518031994	4.072125342	9.872241477	8.798635225	8.094041202	8.523439523
Sample120	5.568946662	7.633890873	3.928845513	6.683907158	3.870770354	10.29277747	9.408854214	7.34532086	8.217046706
Sample121	5.484009594	8.306754755	4.746357151	9.973883989	3.819068584	10.41273757	8.837558438	9.23811222	8.428897816
Sample122	5.113669334	6.951313068	3.471011806	5.844856761	3.819190142	9.912656577	8.634937975	6.250424035	7.548492665
Sample123	5.314067592	7.725223189	4.580193552	6.943578486	4.061852452	10.12621564	9.659880639	5.157204369	8.228295109
Sample124	5.149402547	7.641081577	3.758855736	6.190169253	4.327025314	9.345501046	9.317915437	4.801213456	6.751111147
Sample125	5.07077613	8.233633202	3.358951706	6.534542933	4.093426413	10.43707168	9.159916603	5.355726561	7.574420121
Sample126	7.394832421	7.727853816	4.677295885	7.525591217	3.973058315	10.09948173	9.028463607	6.825079035	8.029715255
Sample127	4.646203372	7.023651928	3.822937863	6.507340181	4.238218864	9.634245379	8.75081474	5.202746026	7.899238505
Sample128	8.364275896	7.866217435	5.167966876	9.226934566	3.869571281	10.45353067	9.220646767	7.835107648	8.383051832
Sample129	4.986045466	7.528415802	3.578688187	7.487273928	4.835152378	9.84362304	8.162733922	5.911241514	8.200575141
Sample130	5.951661535	7.343370811	3.778543963	7.629110653	4.016758947	9.924572829	8.905622144	5.895119818	8.372054601
Sample131	4.832136814	7.068328106	3.559431104	6.624980442	3.767721322	10.40297171	9.333084244	4.587817067	7.766754688
Sample132	6.843425625	7.380841607	4.09466134	7.075566139	4.000175733	9.792669596	9.323080809	6.842769405	8.135433233
Sample133	6.115157878	7.728360066	3.898719446	8.555006868	3.998409901	10.24476514	8.549629046	6.728321595	8.551932622
Sample134	5.444387126	7.889765656	3.692132752	8.789988252	4.410960612	10.13340383	8.952214021	6.979688005	8.541656462
Sample135	6.68190541	8.578241314	4.520174484	8.767548785	3.82904469	10.26933038	9.186102905	5.519666607	8.318094185
Sample136	5.104349315	7.22360241	3.597037215	6.139558222	4.125976866	10.37813618	9.594777399	5.138592962	8.262544173
Sample137	5.662883476	7.498797785	3.376869511	6.420163529	4.074727279	9.378471006	8.525045689	4.828162723	9.143240783
Sample138	5.517790039	7.562115638	3.730161004	7.827447446	4.00286076	10.35690399	9.488867565	6.218100194	8.731235851
Sample139	6.991876279	6.455815967	3.728933385	5.936320114	4.269250109	9.827545814	8.644435907	3.975503731	9.721818126
Sample140	4.986389721	7.867295669	3.421353282	6.49478432	3.98602142	10.04702106	8.48571175	4.790279216	8.093965959
Sample141	5.708125663	7.557842306	3.602959637	8.418758233	4.010136321	9.82928264	8.790284403	8.85774503	7.707705206
Sample142	4.875790284	6.737900149	3.877563191	7.343848194	4.472132628	10.01118972	8.726130661	5.093646601	8.157038319
Sample143	4.93665491	6.312215156	4.029543784	7.830653497	4.072204626	10.19560736	9.967884113	8.900443052	8.395029635
Sample144	5.632570425	7.570067244	3.583766636	7.210959406	4.033525865	9.729715041	9.370429602	6.935582272	8.249455532
Sample145	6.654511015	7.53596033	3.70622159	6.776822308	4.338928663	9.481001348	8.723700008	6.1631275	8.05281597
Sample146	5.330751387	7.578109425	3.513877722	6.900251282	4.12679456	9.9255128	9.278785302	6.997957013	8.411521094
Sample147	4.905115886	6.371096531	3.982390669	7.25812611	3.965546952	9.6572752	8.858533364	6.042282965	8.470298555
Sample148	4.848633711	6.970093162	3.427698239	7.023417037	4.04293024	9.304058729	9.065005546	5.351989688	8.519115453
Sample149	4.971323652	6.418160754	3.209407506	6.297324684	4.413715437	9.058878468	8.929108323	4.872350424	8.252979205
Sample150	5.40887779	7.900472199	3.486260112	9.728394266	4.124215102	9.957468881	9.057325855	4.535265194	8.521248345
Sample151	8.26069802	8.112608957	5.640933448	7.904672224	3.990173005	9.735290082	9.508608698	7.806697568	8.821107341
Sample152	6.663822421	8.233600151	4.869802541	7.313257151	3.744979204	10.06318623	8.987893368	6.901174511	8.404566928
Sample153	6.968599338	7.511126516	4.174567396	7.948203257	3.918692211	10.11825333	9.831204426	8.77579751	8.401557306
Sample154	5.523947043	6.601523399	3.588768671	7.201000381	4.050089891	9.192894605	8.482496003	5.53177188	8.300697066
Sample155	5.761705034	7.673349339	3.746450665	8.895706191	4.269437759	10.17301476	8.750022572	5.72608171	8.247531018
Sample156	5.553052433	7.098375567	3.569116345	6.205364339	3.801904993	10.21040905	8.738324594	6.729221903	7.83740236
Sample157	6.901342362	7.239945886	5.387390987	6.825165479	3.926689755	10.041077	8.739608351	8.377887128	8.185753494
Sample158	7.887213762	8.537985869	3.475188794	9.264815385	3.749621019	10.56064726	9.966783873	9.959476865	8.651291286
Sample159	5.247920684	6.701058046	3.585414995	6.558076741	4.318764607	9.653073163	9.191423899	5.245586976	7.898554622
Sample160	8.479446174	7.763760138	4.258127294	6.681181995	3.728040399	9.880254278	8.822492085	6.239100559	7.748448949
Sample161	6.093352646	7.695802238	3.102946394	6.651232345	3.976698132	9.754633777	9.159712099	8.198803344	9.142964947
Sample162	6.330796484	7.215732122	3.712260925	6.788124903	3.871679445	8.635751583	8.623055265	5.924880471	8.74266876
Sample163	6.575364731	7.918999426	5.484509111	9.111021655	4.2780303	9.808701699	8.129058191	6.620918457	8.316048896
Sample164	5.747928255	8.006690662	3.787302898	6.729859344	4.244180186	9.56824168	8.900333873	6.295702573	8.731705265
Sample165	9.864348235	7.738816597	3.331831408	7.08123901	4.207894865	10.00691221	8.664753204	7.237569242	8.959122042
Sample166	4.635628342	6.791338412	3.951448607	7.457048223	4.351600073	9.236561937	8.431934187	5.908672885	8.470228794
Sample167	7.016481964	8.006968	3.84045365	8.892588171	4.024497726	10.17243041	8.75496529	7.705512305	8.603261086
Sample168	4.995211012	7.979110447	4.331962303	9.142135772	4.405022638	10.34304145	8.85764853	7.928826426	8.946195656
Sample169	7.58004738	7.76858357	4.694420091	7.941053754	4.096517436	10.03967906	9.201108276	7.88143601	8.50974333
Sample170	5.545312252	7.639960628	3.596754737	7.370296281	4.086185755	10.18966687	8.731331341	5.982631139	8.436972087
Sample171	9.375557774	8.369005834	8.363893477	8.510287443	3.955673408	10.03150491	10.59103966	8.252601036	8.928517944
Sample172	8.817219917	8.663398143	7.515869829	8.085814991	4.35310317	10.06413177	10.12009857	8.812888232	9.214939327
Sample173	5.330636548	7.036282675	6.524424595	9.735656211	4.032730173	10.01984909	8.935949493	9.084590397	8.628534354
Sample174	5.704724589	7.820688658	3.146504768	6.70063365	3.944480894	10.50149422	9.443747137	6.260316276	9.357915702
Sample175	5.326295882	7.791393846	3.63890533	6.354939406	4.058950656	10.09512639	8.33274054	5.736239181	8.591180754
Sample176	4.977657469	6.64252481	3.709581721	6.795526214	4.217335347	9.95868445	8.886063674	6.049912581	8.66448682
Sample177	5.239425304	7.14485482	3.697743203	6.315505902	3.975540597	10.07846769	8.648938291	9.629559826	7.921402124
Sample178	9.117142383	7.696209524	4.854780367	8.899912883	4.401698164	10.17100562	9.187161425	7.497024712	8.663123673
Sample179	8.817603023	7.809445023	3.58929925	8.42076905	4.357295357	10.79363009	8.478576746	8.434394543	8.44392199
Sample180	4.565853847	6.821186786	3.26274992	6.277166064	4.194731528	9.070281729	8.791468608	5.16099443	7.95733181
Sample181	7.124774301	7.949670629	5.447844617	8.494659539	4.016935619	9.643894596	9.377826458	9.797191841	8.410716851
Sample182	10.08040909	8.511382292	7.80371642	8.102892537	4.205394397	9.931770088	10.42749908	8.084085313	9.028861036
Sample183	4.922807488	7.164451467	3.354805254	5.19659602	5.525612859	10.0927676	8.482548226	3.689280006	7.79527665
Sample184	5.667013929	7.677942074	3.989508058	7.466264628	3.985071986	9.993141558	8.883400231	6.293168405	8.509964629
Sample185	4.815577209	7.191548255	3.74175157	6.824872788	3.735530212	10.12484974	8.719816428	7.30291217	8.095298091
Sample186	9.529196367	7.498285971	3.523732537	8.832079494	4.224299078	10.3791552	9.324355194	8.430246029	9.276441957
Sample187	4.960215337	7.738444415	3.798767831	6.297602383	4.078788309	9.306213826	8.511712129	4.034121826	7.640303531
Sample188	8.292255018	7.5681942	4.121160186	6.284548569	4.176027372	10.01146784	9.794042119	9.14318011	8.014854461
Sample189	5.699223891	7.926530675	3.627462055	7.002288771	3.739569197	9.670406535	9.204963435	9.964283206	8.554399642
Sample190	4.673123859	8.544174228	3.944830681	5.777314511	4.140563963	9.787819687	9.233152399	5.347546725	9.093688666
Sample191	7.826093697	7.458254781	4.703246307	7.05039334	4.011215151	10.09922638	8.729666347	7.78147253	7.924097555
Sample192	4.972065331	7.137321058	3.867210918	8.024615204	3.589819471	9.247416746	8.988440195	4.697427433	8.453478928
Sample193	7.006043338	6.429338514	4.025155192	8.487596856	4.056886349	9.888251646	9.66336577	5.365666503	9.216454481
Sample194	4.832582578	7.432603065	3.28844687	7.513269569	3.737306946	9.422787491	9.165227285	5.130064172	8.099448389
Sample195	9.516925376	8.27976537	7.117078753	8.138413642	3.672140242	9.768697289	10.46761873	8.383589195	8.598569449
Sample196	6.877803754	7.204216463	3.711163107	7.270541476	4.259760218	9.986620651	8.792221918	7.822200058	8.374980193
Sample197	5.378782278	7.211504626	3.503192113	5.555392968	4.085828048	7.498071278	8.764829234	5.444845568	8.103528349
Sample198	5.396292777	8.077620726	3.792967726	7.753632388	3.908900734	10.2691417	8.47930592	7.312496022	8.411779168
Sample199	10.10547633	7.38773997	3.695557774	6.787182967	4.279182687	10.39933623	8.502425684	6.089546182	8.754562204
Sample200	6.279437052	7.624763138	3.829616247	6.188221028	4.022976321	9.975176953	8.843074141	8.139292136	8.055469866
Sample201	10.22370269	8.548088419	7.019163959	8.323203315	3.818657068	9.887435778	10.86861503	8.841632709	8.784170457
Sample202	7.430266746	7.834095783	5.301633054	7.057113505	3.964648777	9.67224695	9.294293951	6.93854815	8.51813437
Sample203	5.135874766	7.788170829	4.074407804	6.384025438	4.242263762	9.821554055	8.900932307	4.58132638	8.591144613
Sample204	8.333060446	8.055618826	5.086934769	7.474474901	4.088745313	9.518235448	9.669660928	8.181653157	8.902151215
Sample205	10.8922349	8.320873052	7.524863464	9.77808344	4.223227847	9.953643035	8.960734264	9.362645027	9.610403351
Sample206	7.313072791	6.873695051	3.854303291	6.723653285	4.063151095	9.579751194	8.768240894	5.451711042	7.886344182
Sample207	5.408340972	7.691116431	3.736870539	7.120164378	4.026588995	10.34347055	9.527635394	6.648604028	8.775280401
Sample208	9.220942274	8.563173031	6.149604585	6.860489259	3.943382292	9.873108782	9.875992691	7.906518003	8.991679617
Sample209	8.75514249	8.158210273	4.449155816	7.857142739	4.324837762	9.879513073	9.260439852	8.861650032	8.649534723
Sample210	6.177539021	8.204519354	5.042949278	10.03211634	4.140784144	10.46467881	9.413122538	9.907504276	8.547731725
Sample211	5.289621057	8.36929423	3.78174808	9.132275602	4.2351481	9.984935219	8.194284302	5.079339419	8.268988456
Sample212	5.719199842	6.806074845	3.913431367	6.986779388	4.223574356	10.07168166	8.686498444	5.74695001	8.991143698
Sample213	6.608440726	7.6907574	4.396747525	7.764353231	3.94064875	10.01378986	8.720599883	7.517218551	8.311528298
Sample214	4.964564183	8.151802124	4.292185569	8.96082129	3.887651431	10.43096237	8.863458364	7.746469964	8.887150926
Sample215	7.310002702	8.139434403	5.179151439	9.740108926	4.004784022	10.68061908	8.605097308	8.385451367	9.188516143
Sample216	4.635398078	8.318270356	7.753634214	9.233809327	3.792864504	10.23818129	8.531255538	8.084223649	9.656629005
Sample217	4.636027484	7.922148866	3.96077963	7.925843893	4.308744591	10.78574938	7.783503877	10.54968794	7.804426268
Sample218	5.028788825	7.658365325	3.632234761	7.67453601	3.883412694	9.861417156	8.657783796	6.384268227	8.412592916
Sample219	6.262188302	7.825050151	4.235084373	6.708923988	3.756800137	9.936483141	8.791146363	7.547575647	8.251430444
Sample220	6.882404539	7.595260041	4.829727786	6.295127463	3.841291259	9.635786902	9.091328957	7.897473875	8.111705046
Sample221	9.705110392	9.083754772	7.324851042	8.616080364	3.849585899	9.839478723	11.27253423	9.229673716	8.992561523
Sample222	6.546135016	7.995148037	3.996679297	8.297289889	3.715745947	9.83078343	8.659879388	8.526405152	8.64954199
Sample223	6.205018425	8.06452089	5.830449595	8.554950323	3.936451816	10.69674558	8.955497344	7.346487187	9.161378917
Sample224	7.533126334	7.294681577	4.663776097	5.998495141	3.789397953	10.24724499	9.262340402	6.651292825	8.796378997
Sample225	6.832286634	7.213607943	4.164175436	6.313407261	3.953965499	9.023804001	9.07927108	6.553747489	8.590781338
Sample226	6.837062902	7.418314468	3.802354288	6.699455168	3.866118392	10.40046026	8.370627281	8.197356988	8.06577287
Sample227	7.14927948	7.823831241	4.344763537	7.834108913	4.169997875	10.079238	8.985872306	8.708705496	8.122160892
Sample228	9.676366439	8.646122065	3.651104902	7.671054453	4.345613347	10.364333	8.953185536	9.1231613	8.973449781
Sample229	5.972978433	7.451445167	4.610011734	7.185645328	4.303523369	10.14330711	8.925139028	8.049554876	8.268083407
Sample230	4.930742647	7.782031466	3.300280474	6.032449439	3.693151298	9.788089541	9.26411498	5.670772596	8.397757329
Sample231	5.179302087	8.258654278	3.596046199	5.705222353	4.074867163	9.879383269	9.150068775	8.081807713	8.275449896
Sample232	11.22840731	8.137588934	3.649029931	7.508075391	3.871844051	10.11981696	8.45479353	5.980349009	8.497422253
Sample233	6.383423079	7.512911511	4.201828434	7.68154423	4.17143593	9.92557507	8.570329355	6.618785131	8.239641514
Sample234	8.430067435	6.610516755	3.689626647	8.583411872	4.134070218	9.571137846	8.574522753	10.42647213	9.803632097
