	APOD	CCDC92	CYS1	GSDME	STARD3NL	ST8SIA5	TMEM245	TSPYL5	VAT1
229208T	-2.41	-3.106666667	-6.42	-4.326666667	-2.07	-12.66	-9.096666667	-2.256666667	-1.163333333
230667T	-3.94	-6.14	-10.77666667	-6.613333333	-5.163333333	-16.83	-10.40666667	-8.253333333	-4.03
232632T	-4.963333333	-4.28	-7.016666667	-4.513333333	-3.6	-15.92666667	-9.953333333	-5.83	-2.586666667
232868T	-2.85	-4.79	-7.636666667	-5.17	-4.006666667	-16.51666667	-8.49	-4.72	-2.353333333
232926T	-1.42	-4.933333333	-8.793333333	-6.696666667	-4.99	-15.42666667	-11.17666667	-6.053333333	-3.81
234124T	-3.1	-6.786666667	-9.226666667	-5.966666667	-6.81	-15.63333333	-10.34333333	-7.213333333	-5.46
234691T	-5.553333333	-2.813333333	-9.223333333	-6.336666667	-3.553333333	-13.95166667	-9.426666667	-4.98	-2.756666667
235323T	-1.883333333	-4.48	-9.276666667	-6.886666667	-3.95	-11.71333333	-4.56	-4.826666667	-2.936666667
235984T	-0.85	-3.963333333	-6.573333333	-6.753333333	-4.686666667	-16.77333333	-8.34	-5.676666667	-3.28
236989T	-2.28	-3.75	-6.89	-6.033333333	-3.883333333	-13.21666667	-7.89	-5.026666667	-2.423333333
237291T	-6.563333333	-3.926666667	-8.286666667	-5.736666667	-2.68	-15.56166667	-9.46	-6.68	-2.093333333
237482T	-6.783333333	-4.5	-8.126666667	-6.25	-3.273333333	-15.01333333	-10.02	-6.356666667	-3.126666667
238138T	-1.786666667	-3.53	-7.306666667	-5.686666667	-4.613333333	-15.835	-9.645	-4.26	-2.53
239172T	0.28	-3.676666667	-6.793333333	-6.306666667	-4.716666667	-11.80833333	-9.76	-5.73	-3.203333333
240339T	-4.876666667	-4.24	-9.41	-6.32	-3.833333333	-14.36666667	-9.086666667	-6.636666667	-2.94
241307T	-1.926666667	-4.696666667	-7.153333333	-5.616666667	-5.866666667	-14.59333333	-11.05666667	-6.113333333	-3.196666667
241672T	-2.62	-3.603333333	-7.87	-6.96	-3.923333333	-16.26666667	-9.746666667	-4.79	-2.62
245940T	-4.436666667	-5.51	-9.361666667	-6.053333333	-6.72	-14.28666667	-13.77333333	-6.011666667	-3.97
246868T	-1.253333333	-3.96	-7.84	-5.816666667	-5.386666667	-13.43	-10.25	-5.306666667	-3.653333333
247141T	-2.94	-3.596666667	-6.69	-6.553333333	-5.563333333	-13.49	-8.31	-4.85	-4.02
248553T	-1.59	-3.653333333	-6.923333333	-6.283333333	-5.033333333	-17.38166667	-8.793333333	-5.443333333	-3.38
249349T	-0.776666667	-3.483333333	-7.116666667	-5.883333333	-3.88	-15	-9.803333333	-4.516666667	-2.943333333
252491T	-2.406666667	-3.53	-7.813333333	-5.933333333	-4.16	-14.83666667	-7.63	-4.743333333	-3.086666667
252776T	-6.803333333	-5.5	-8.943333333	-3.213333333	-2.946666667	-13.055	-8.003333333	-7.043333333	-2.13
257905T	-0.86	-4.606666667	-6.333333333	-6.653333333	-5.686666667	-14.56166667	-9.67	-5.71	-4.073333333
260742T	-7.29	-7.043333333	-11.30666667	-6.136666667	-4.93	-16.88333333	-10.47333333	-5.323333333	-4.296666667
260782T	-3.853333333	-5.96	-8.693333333	-7.543333333	-5.866666667	-17.44666667	-10.42666667	-6.916666667	-4.15
261156T	-6.253333333	-5.743333333	-6.876666667	-6.8	-6.48	-19.26	-10.81333333	-6.99	-4.22
263203T	-8.27	-3.693333333	-8.616666667	-4.676666667	-3.94	-12.35333333	-9.546666667	-7.543333333	-1.74
263806T	-2.13	-3.19	-6.61	-5.6	-5.03	-16.99	-9.095	-4.673333333	-3.423333333
266787T	-4.896666667	-4.666666667	-9.108333333	-6.563333333	-5.806666667	-12.76666667	-11.41	-4.656666667	-2.436666667
266837T	-4.3	-4.016666667	-8.163333333	-6.406666667	-5.343333333	-14.935	-7.963333333	-6.446666667	-0.956666667
267190T	-0.823333333	-3.406666667	-6.703333333	-6.59	-4.793333333	-15.62	-8.903333333	-4.69	-3.233333333
267302T	-3.303333333	-3.616666667	-6.663333333	-6.313333333	-4.503333333	-16.25666667	-9.136666667	-4.35	-2.633333333
267670T	0.396666667	-2.343333333	-7.053333333	-5.03	-3.22	-16.38333333	-9.096666667	-2.506666667	-2.1
267814T	-2.39	-4.78	-9.476666667	-7.26	-6.146666667	-17.66666667	-9.866666667	-5.99	-3.843333333
268357T	-1.103333333	-3.966666667	-6.743333333	-4.066666667	-2.906666667	-12.21333333	-9.673333333	-5.976666667	-1.37
268656T	-2.533333333	-3.38	-6.736666667	-5.03	-4.793333333	-12.90666667	-10.24333333	-4.55	-2.44
270011T	-2.706666667	-4.66	-9.88	-6.663333333	-4.03	-16.23333333	-10.81333333	-6.036666667	-2.816666667
271117T	-6.213333333	-3.66	-8.436666667	-7.753333333	-2.71	-15.19333333	-9.576666667	-6.83	-2.72
233701T	-4.653333333	-4.236666667	-7.076666667	-6.306666667	-5.653333333	-18.29666667	-10.03333333	-4.933333333	-3.92
266823T	-4.203333333	-2.903333333	-5.903333333	-6.55	-3.813333333	-16.90333333	-8.396666667	-3.573333333	-2.583333333
