	CGRS	Probability
x228	5.262968966	0.375001
x229	5.257567938	0.376001
x230	5.25216975	0.377001
x231	5.246776749	0.378001
x232	5.241388476	0.379001
x233	5.236002953	0.380001
x234	5.230623978	0.381001
x235	5.22524807	0.382001
x236	5.21987595	0.383001
x237	5.214509455	0.384001
x238	5.20914553	0.385001
x239	5.203786807	0.386001
x240	5.198432003	0.387001
x241	5.193079822	0.388001
x242	5.187733945	0.389001
x243	5.182390465	0.390001
x244	5.177051057	0.391001
x245	5.171716218	0.392001
x246	5.166383701	0.393001
x247	5.161056654	0.394001
x248	5.1557325	0.395001
x249	5.15041148	0.396001
x250	5.145095498	0.397001
x251	5.139781679	0.398001
x252	5.134472408	0.399001
x253	5.129166489	0.400001
x254	5.12386294	0.401001
x255	5.118564736	0.402001
x256	5.113268544	0.403001
x257	5.107976136	0.404001
x258	5.102687393	0.405001
x259	5.097400597	0.406001
x260	5.09211893	0.407001
x261	5.086839321	0.408001
x262	5.081562873	0.409001
x263	5.076290272	0.410001
x264	5.071019478	0.411001
x265	5.065753172	0.412001
x266	5.06048913	0.413001
x267	5.055227747	0.414001
x268	5.049970279	0.415001
x269	5.044714487	0.416001
x270	5.039462652	0.417001
x271	5.034213184	0.418001
x272	5.028965976	0.419001
x273	5.023722659	0.420001
x274	5.01848089	0.421001
x275	5.013242643	0.422001
x276	5.008006779	0.423001
x277	5.002772865	0.424001
x278	4.997542737	0.425001
x279	4.992314035	0.426001
x280	4.987088498	0.427001
x281	4.98186529	0.428001
x282	4.976643796	0.429001
x283	4.971425916	0.430001
x284	4.966209345	0.431001
x285	4.960995648	0.432001
x286	4.955784169	0.433001
x287	4.950574226	0.434001
x288	4.945367672	0.435001
x289	4.940162317	0.436001
x290	4.934959595	0.437001
x291	4.929758933	0.438001
x292	4.924559678	0.439001
x293	4.919363547	0.440001
x294	4.914168509	0.441001
x295	4.908975902	0.442001
x296	4.903785166	0.443001
x297	4.898595741	0.444001
x298	4.893409147	0.445001
x299	4.888223543	0.446001
x300	4.883040196	0.447001
x301	4.877858509	0.448001
x302	4.87267806	0.449001
x303	4.867500131	0.450001
x304	4.862323094	0.451001
x305	4.857148157	0.452001
x306	4.851974656	0.453001
x307	4.846802335	0.454001
x308	4.841632214	0.455001
x309	4.836462888	0.456001
x310	4.831295516	0.457001
x311	4.826129351	0.458001
x312	4.820964313	0.459001
x313	4.815801154	0.460001
x314	4.810638698	0.461001
x315	4.805478047	0.462001
x316	4.800318381	0.463001
x317	4.795159784	0.464001
x318	4.790002752	0.465001
x319	4.784846335	0.466001
x320	4.779691566	0.467001
x321	4.77453757	0.468001
x322	4.769384576	0.469001
x323	4.764232848	0.470001
x324	4.759081647	0.471001
x325	4.753931924	0.472001
x326	4.748782779	0.473001
x327	4.743634554	0.474001
x328	4.738487312	0.475001
x329	4.733340513	0.476001
x330	4.728195003	0.477001
x331	4.723049897	0.478001
x332	4.717905606	0.479001
x333	4.712762043	0.480001
x334	4.707618879	0.481001
x335	4.702476709	0.482001
x336	4.697334837	0.483001
x337	4.69219365	0.484001
