	CGRS	Probability
x0	1000000	0
x1	6.733670007	0.015
x2	6.68104535	0.016
x3	6.631162848	0.017
x4	6.583738238	0.018
x5	6.538501214	0.019
x6	6.495249358	0.02
x7	6.453797792	0.021
x8	6.413977714	0.022
x9	6.375664381	0.023
x10	6.338721683	0.024
x11	6.3030514	0.025
x12	6.268561997	0.026
x13	6.235168186	0.027
x14	6.202790509	0.028
x15	6.171354955	0.029
x16	6.140814375	0.03
x17	6.111099856	0.031
x18	6.082177273	0.032
x19	6.053985494	0.033
x20	6.026487107	0.034
x21	5.999646558	0.035
x22	5.97343006	0.036
x23	5.947805506	0.037
x24	5.92274239	0.038
x25	5.898211729	0.039
x26	5.87418599	0.04
x27	5.850639022	0.041
x28	5.827557885	0.042
x29	5.804919486	0.043
x30	5.782692498	0.044
x31	5.760883679	0.045
x32	5.739447335	0.046
x33	5.718395607	0.047
x34	5.697691256	0.048
x35	5.677330119	0.049
x36	5.657303594	0.05
x37	5.637588736	0.051
x38	5.618175732	0.052
x39	5.599064846	0.053
x40	5.58023744	0.054
x41	5.561682313	0.055
x42	5.543390919	0.056
x43	5.525354982	0.057
x44	5.507566488	0.058
x45	5.490017676	0.059
x46	5.472701029	0.06
x47	5.455609271	0.061
x48	5.438735354	0.062
x49	5.422072454	0.063
x50	5.405613965	0.064
x51	5.389353489	0.065
x52	5.373284835	0.066
x53	5.357402007	0.067
x54	5.341707616	0.068
x55	5.326190568	0.069
x56	5.310843413	0.07
x57	5.295660837	0.071
x58	5.280643668	0.072
x59	5.265790192	0.073
x60	5.251087098	0.074
x61	5.236530957	0.075
x62	5.222132426	0.076
x63	5.207871235	0.077
x64	5.193747749	0.078
x65	5.17976845	0.079
x66	5.165914516	0.08
x67	5.152197241	0.081
x68	5.138604259	0.082
x69	5.125134597	0.083
x70	5.111789934	0.084
x71	5.098558543	0.085
x72	5.085450167	0.086
x73	5.07244809	0.087
x74	5.059564544	0.088
x75	5.046783197	0.089
x76	5.034113574	0.09
x77	5.021544725	0.091
x78	5.009078643	0.092
x79	4.996714403	0.093
x80	4.984441979	0.094
x81	4.972274785	0.095
x82	4.960193949	0.096
x83	4.948209217	0.097
x84	4.936315248	0.098
x85	4.924503569	0.099
x86	4.912787865	0.1
x87	4.901153442	0.101
x88	4.889597456	0.102
x89	4.8781333	0.103
x90	4.866745496	0.104
x91	4.855432476	0.105
x92	4.844203506	0.106
x93	4.833050104	0.107
x94	4.821968023	0.108
x95	4.810958927	0.109
x96	4.80002838	0.11
x97	4.789165874	0.111
x98	4.778370495	0.112
x99	4.767643727	0.113
x100	4.756990054	0.114
x101	4.746400445	0.115
x102	4.735874043	0.116
x103	4.725410005	0.117
x104	4.715012886	0.118
x105	4.704679403	0.119
x106	4.694405464	0.12
x107	4.68419028	0.121
x108	4.674033071	0.122
x109	4.663933691	0.123
x110	4.653896832	0.124
x111	4.643915353	0.125
x112	4.633988526	0.126
x113	4.624115629	0.127
x114	4.614295953	0.128
x115	4.604528798	0.129
x116	4.594813473	0.13
x117	4.585153445	0.131
x118	4.575544182	0.132
x119	4.565984469	0.133
x120	4.556473658	0.134
x121	4.547011111	0.135
x122	4.5375962	0.136
x123	4.528228305	0.137
x124	4.518906815	0.138
x125	4.509631126	0.139
x126	4.500400644	0.14
x127	4.491214784	0.141
x128	4.482072967	0.142
x129	4.472976122	0.143
x130	4.463922412	0.144
x131	4.454910858	0.145
x132	4.445940917	0.146
x133	4.437012057	0.147
x134	4.428123751	0.148
x135	4.41927548	0.149
x136	4.410466733	0.15
x137	4.401697004	0.151
x138	4.392965798	0.152
x139	4.384272623	0.153
x140	4.375616997	0.154
x141	4.366998442	0.155
x142	4.358416489	0.156
x143	4.349870674	0.157
x144	4.341360541	0.158
x145	4.332885639	0.159
x146	4.324445525	0.16
x147	4.316039761	0.161
x148	4.307667916	0.162
x149	4.299329564	0.163
x150	4.291024286	0.164
x151	4.282752487	0.165
x152	4.274513889	0.166
x153	4.266307256	0.167
x154	4.258132191	0.168
x155	4.249988299	0.169
x156	4.241875192	0.17
x157	4.233792489	0.171
x158	4.225739811	0.172
x159	4.217716788	0.173
x160	4.209723052	0.174
x161	4.201758244	0.175
x162	4.193822007	0.176
x163	4.185913989	0.177
x164	4.178033847	0.178
x165	4.170182585	0.179
x166	4.162360445	0.18
x167	4.154565245	0.181
x168	4.146796657	0.182
x169	4.139054355	0.183
x170	4.131338021	0.184
x171	4.123647339	0.185
x172	4.115982	0.186
x173	4.108341697	0.187
x174	4.100727088	0.188
x175	4.093139985	0.189
x176	4.085577078	0.19
x177	4.078038077	0.191
x178	4.070522694	0.192
x179	4.063030649	0.193
x180	4.055561663	0.194
x181	4.048115461	0.195
x182	4.040695094	0.196
x183	4.033298219	0.197
x184	4.025923364	0.198
x185	4.018570268	0.199
x186	4.011238676	0.2
x187	4.003928334	0.201
x188	3.996639757	0.202
x189	3.989376102	0.203
x190	3.982132984	0.204
x191	3.974910162	0.205
x192	3.9677074	0.206
x193	3.960524466	0.207
x194	3.953362134	0.208
x195	3.9462234	0.209
x196	3.939103827	0.21
x197	3.932003194	0.211
x198	3.924921284	0.212
x199	3.917857883	0.213
x200	3.910816458	0.214
x201	3.903794913	0.215
x202	3.896791254	0.216
x203	3.889805278	0.217
x204	3.882836786	0.218
x205	3.875888377	0.219
x206	3.868959924	0.22
x207	3.862048365	0.221
x208	3.855153513	0.222
x209	3.848275181	0.223
x210	3.841416595	0.224
x211	3.834576567	0.225
x212	3.827752503	0.226
x213	3.820944226	0.227
x214	3.814151564	0.228
x215	3.807379701	0.229
x216	3.800623689	0.23
x217	3.793882765	0.231
x218	3.787156767	0.232
x219	3.780447964	0.233
x220	3.773757379	0.234
x221	3.767081216	0.235
x222	3.76041932	0.236
x223	3.75377192	0.237
x224	3.747144243	0.238
x225	3.740530353	0.239
x226	3.733930102	0.24
x227	3.727343347	0.241
x228	3.720775298	0.242
x229	3.714221294	0.243
x230	3.707680332	0.244
x231	3.701152276	0.245
x232	3.694641894	0.246
x233	3.688145488	0.247
x234	3.681661553	0.248
x235	3.675189962	0.249
x236	3.668735702	0.25
x237	3.662294698	0.251
x238	3.655865623	0.252
x239	3.649448356	0.253
x240	3.643048702	0.254
x241	3.636660996	0.255
x242	3.6302847	0.256
x243	3.623920624	0.257
x244	3.617573171	0.258
x245	3.611236743	0.259
x246	3.604911233	0.26
x247	3.598599306	0.261
x248	3.59230167	0.262
x249	3.586014585	0.263
x250	3.579737949	0.264
x251	3.573476734	0.265
x252	3.567227038	0.266
x253	3.560987439	0.267
x254	3.554759249	0.268
x255	3.548545933	0.269
x256	3.542342374	0.27
x257	3.536148482	0.271
x258	3.529968672	0.272
x259	3.523800181	0.273
x260	3.517641033	0.274
x261	3.511492717	0.275
x262	3.505358349	0.276
x263	3.499233007	0.277
x264	3.493116612	0.278
x265	3.487014419	0.279
x266	3.480921973	0.28
x267	3.474838173	0.281
x268	3.468765992	0.282
x269	3.462705554	0.283
x270	3.456653471	0.284
x271	3.450610722	0.285
x272	3.444581425	0.286
x273	3.438560203	0.287
x274	3.43254699	0.288
x275	3.426547316	0.289
x276	3.420556122	0.29
x277	3.414572668	0.291
x278	3.408601005	0.292
x279	3.402639026	0.293
x280	3.396684529	0.294
x281	3.390740321	0.295
x282	3.384806767	0.296
x283	3.378880442	0.297
x284	3.37296314	0.298
x285	3.367057239	0.299
x286	3.361158326	0.3
x287	3.355267385	0.301
x288	3.349388387	0.302
x289	3.343516142	0.303
x290	3.337651025	0.304
x291	3.331798198	0.305
x292	3.325951897	0.306
x293	3.320112079	0.307
x294	3.314284703	0.308
x295	3.308463642	0.309
x296	3.302648847	0.31
x297	3.296845978	0.311
x298	3.291049469	0.312
x299	3.285259017	0.313
x300	3.279480139	0.314
x301	3.273707511	0.315
x302	3.26794074	0.316
x303	3.26218534	0.317
x304	3.256435941	0.318
x305	3.250692205	0.319
x306	3.244959778	0.32
x307	3.239232972	0.321
x308	3.233511843	0.322
x309	3.227801686	0.323
x310	3.222096852	0.324
x311	3.216397947	0.325
x312	3.210709335	0.326
x313	3.205025869	0.327
x314	3.199348695	0.328
x315	3.193681032	0.329
x316	3.188018344	0.33
x317	3.182362413	0.331
x318	3.176715118	0.332
x319	3.171072634	0.333
x320	3.165437464	0.334
x321	3.159809971	0.335
x322	3.15418713	0.336
x323	3.148572241	0.337
x324	3.142963998	0.338
x325	3.137360254	0.339
x326	3.131765174	0.34
x327	3.126175642	0.341
x328	3.120590462	0.342
x329	3.115014721	0.343
x330	3.109443375	0.344
x331	3.103877129	0.345
x332	3.098319373	0.346
x333	3.092765702	0.347
x334	3.087218099	0.348
x335	3.081677651	0.349
x336	3.076141154	0.35
x337	3.070611737	0.351
x338	3.065088104	0.352
x339	3.059568293	0.353
x340	3.054056607	0.354
x341	3.048549309	0.355
x342	3.043046319	0.356
x343	3.037551304	0.357
x344	3.032059871	0.358
x345	3.026573939	0.359
x346	3.021094447	0.36
x347	3.015618423	0.361
x348	3.010149103	0.362
x349	3.004684685	0.363
x350	2.999223621	0.364
x351	2.993770473	0.365
x352	2.988320687	0.366
x353	2.982875461	0.367
x354	2.977436735	0.368
x355	2.972001151	0.369
x356	2.966571443	0.37
x357	2.9611466	0.371
x358	2.955724798	0.372
x359	2.950310175	0.373
x360	2.9448988	0.374
x361	2.939491559	0.375
x362	2.934090403	0.376
x363	2.928692092	0.377
x364	2.923299295	0.378
x365	2.917910898	0.379
x366	2.912525255	0.38
x367	2.907146478	0.381
x368	2.901770449	0.382
x369	2.896398524	0.383
x370	2.89103191	0.384
x371	2.885667868	0.385
x372	2.880309333	0.386
x373	2.874954414	0.387
x374	2.869602418	0.388
x375	2.864256425	0.389
x376	2.858912833	0.39
x377	2.853573604	0.391
x378	2.848238654	0.392
x379	2.842906028	0.393
x380	2.837579155	0.394
x381	2.832254892	0.395
x382	2.826934043	0.396
x383	2.821617954	0.397
x384	2.816304031	0.398
x385	2.810994924	0.399
x386	2.805688902	0.4
x387	2.800385514	0.401
x388	2.795087208	0.402
x389	2.789790915	0.403
x390	2.784498664	0.404
x391	2.779209821	0.405
x392	2.773922987	0.406
x393	2.768641412	0.407
x394	2.763361708	0.408
x395	2.758085408	0.409
x396	2.752812712	0.41
x397	2.747541827	0.411
x398	2.742275663	0.412
x399	2.73701153	0.413
x400	2.731750286	0.414
x401	2.726492728	0.415
x402	2.721236849	0.416
x403	2.715985148	0.417
x404	2.710735594	0.418
x405	2.705488517	0.419
x406	2.700245114	0.42
x407	2.695003263	0.421
x408	2.689765141	0.422
x409	2.684529196	0.423
x410	2.679295405	0.424
x411	2.674065196	0.425
x412	2.668836416	0.426
x413	2.663610996	0.427
x414	2.658387712	0.428
x415	2.653166333	0.429
x416	2.647948376	0.43
x417	2.642731734	0.431
x418	2.637518145	0.432
x419	2.632306594	0.433
x420	2.627096757	0.434
x421	2.621890133	0.435
x422	2.616684711	0.436
x423	2.611482089	0.437
x424	2.606281361	0.438
x425	2.601082204	0.439
x426	2.595886008	0.44
x427	2.590690908	0.441
x428	2.585498393	0.442
x429	2.580307596	0.443
x430	2.57511826	0.444
x431	2.569931606	0.445
x432	2.564745945	0.446
x433	2.559562682	0.447
x434	2.55438094	0.448
x435	2.549200572	0.449
x436	2.544022588	0.45
x437	2.538845499	0.451
