	CGRS	Probability
x438	2.533670639	0.452
x439	2.528497087	0.453
x440	2.523324839	0.454
x441	2.518154668	0.455
x442	2.512985297	0.456
x443	2.507817992	0.457
x444	2.502651783	0.458
x445	2.497486809	0.459
x446	2.492323606	0.46
x447	2.487161109	0.461
x448	2.482000519	0.462
x449	2.476840812	0.463
x450	2.471682273	0.464
x451	2.466525203	0.465
x452	2.46136875	0.466
x453	2.456214033	0.467
x454	2.451060002	0.468
x455	2.445907058	0.469
x456	2.440755297	0.47
x457	2.435604065	0.471
x458	2.430454387	0.472
x459	2.425305213	0.473
x460	2.420157029	0.474
x461	2.41500976	0.475
x462	2.409862977	0.476
x463	2.404717462	0.477
x464	2.399572333	0.478
x465	2.394428076	0.479
x466	2.38928449	0.48
x467	2.384141357	0.481
x468	2.378999165	0.482
x469	2.373857276	0.483
x470	2.368716114	0.484
x471	2.363575409	0.485
x472	2.358435095	0.486
x473	2.353295425	0.487
x474	2.348155975	0.488
x475	2.34301708	0.489
x476	2.337878457	0.49
x477	2.332740132	0.491
x478	2.327602186	0.492
x479	2.322464381	0.493
x480	2.317326922	0.494
x481	2.312189586	0.495
x482	2.307052423	0.496
x483	2.301915407	0.497
x484	2.296778451	0.498
x485	2.291641601	0.499
x486	2.286504759	0.5
x487	2.281367929	0.501
x488	2.27623105	0.502
x489	2.271094147	0.503
x490	2.265957084	0.504
x491	2.260819942	0.505
x492	2.255682618	0.506
x493	2.250545084	0.507
x494	2.245407411	0.508
x495	2.240269335	0.509
x496	2.235131102	0.51
x497	2.229992455	0.511
x498	2.224853472	0.512
x499	2.219714201	0.513
x500	2.21457432	0.514
x501	2.209434199	0.515
x502	2.204293402	0.516
x503	2.199152174	0.517
x504	2.194010476	0.518
x505	2.188867992	0.519
x506	2.183725186	0.52
x507	2.178581409	0.521
x508	2.173437137	0.522
x509	2.168292182	0.523
x510	2.163146294	0.524
x511	2.158000001	0.525
x512	2.152852412	0.526
x513	2.147704293	0.527
x514	2.142555249	0.528
x515	2.137405151	0.529
x516	2.132254559	0.53
x517	2.12710233	0.531
x518	2.121949552	0.532
x519	2.116795586	0.533
x520	2.111640465	0.534
x521	2.106484672	0.535
x522	2.101327055	0.536
x523	2.096168801	0.537
x524	2.091009077	0.538
x525	2.085848112	0.539
x526	2.080686282	0.54
x527	2.075522453	0.541
x528	2.070357897	0.542
x529	2.065191575	0.543
x530	2.060023937	0.544
x531	2.05485523	0.545
x532	2.049684355	0.546
x533	2.04451266	0.547
x534	2.0393389	0.548
x535	2.034163748	0.549
x536	2.028987321	0.55
x537	2.023808555	0.551
x538	2.018628874	0.552
x539	2.013446829	0.553
x540	2.008263312	0.554
x541	2.003078317	0.555
x542	1.997890804	0.556
x543	1.992702276	0.557
x544	1.987511098	0.558
x545	1.982318349	0.559
x546	1.977123936	0.56
x547	1.971926806	0.561
x548	1.966728557	0.562
x549	1.96152739	0.563
x550	1.956324531	0.564
x551	1.951119844	0.565
x552	1.945912211	0.566
x553	1.940703351	0.567
x554	1.935491337	0.568
x555	1.930277471	0.569
x556	1.92506165	0.57
x557	1.919842611	0.571
x558	1.914622234	0.572
x559	1.909398509	0.573
x560	1.904172723	0.574
x561	1.898944902	0.575
x562	1.893713538	0.576
x563	1.888480718	0.577
x564	1.883244413	0.578
x565	1.878005774	0.579
x566	1.872765081	0.58
x567	1.867520453	0.581
x568	1.862274246	0.582
x569	1.857024484	0.583
x570	1.851772041	0.584
x571	1.846517598	0.585
x572	1.841258745	0.586
x573	1.835998186	0.587
x574	1.830734084	0.588
x575	1.825466864	0.589
x576	1.820197785	0.59
x577	1.814923725	0.591
x578	1.809647825	0.592
x579	1.804368494	0.593
x580	1.799085498	0.594
x581	1.793800602	0.595
x582	1.78851062	0.596
x583	1.783218366	0.597
x584	1.777922909	0.598
x585	1.772623116	0.599
x586	1.767321276	0.6
x587	1.762014566	0.601
x588	1.75670492	0.602
x589	1.751392431	0.603
x590	1.746074792	0.604
x591	1.740754954	0.605
x592	1.735430604	0.606
x593	1.730102499	0.607
x594	1.724772065	0.608
x595	1.719435504	0.609
x596	1.714096584	0.61
x597	1.708753675	0.611
x598	1.703406017	0.612
x599	1.698055923	0.613
x600	1.692700126	0.614
x601	1.687341009	0.615
x602	1.681978612	0.616
x603	1.676610275	0.617
x604	1.671239327	0.618
x605	1.665863418	0.619
x606	1.660482958	0.62
x607	1.655099801	0.621
x608	1.64970996	0.622
x609	1.644316992	0.623
x610	1.638920026	0.624
x611	1.633517042	0.625
x612	1.628111173	0.626
x613	1.622699639	0.627
x614	1.617283448	0.628
x615	1.611864276	0.629
x616	1.606437746	0.63
x617	1.60100794	0.631
x618	1.595573751	0.632
x619	1.590133097	0.633
x620	1.584689258	0.634
x621	1.579239424	0.635
x622	1.573784417	0.636
x623	1.568326118	0.637
x624	1.562860204	0.638
x625	1.55739041	0.639
x626	1.551916291	0.64
x627	1.546434779	0.641
x628	1.540949753	0.642
x629	1.535458893	0.643
x630	1.529961813	0.644
x631	1.524461101	0.645
x632	1.518953053	0.646
x633	1.513439944	0.647
x634	1.507923081	0.648
x635	1.502397396	0.649
x636	1.496867785	0.65
x637	1.491333111	0.651
x638	1.485790518	0.652
x639	1.48024392	0.653
x640	1.474690928	0.654
x641	1.469130987	0.655
x642	1.463566907	0.656
x643	1.457995137	0.657
x644	1.452417345	0.658
x645	1.446835274	0.659
x646	1.441244262	0.66
x647	1.435648102	0.661
x648	1.430047294	0.662
x649	1.424436796	0.663
x650	1.41882174	0.664
x651	1.413200986	0.665
x652	1.407571204	0.666
x653	1.401936709	0.667
x654	1.396295533	0.668
x655	1.390645916	0.669
x656	1.384991425	0.67
x657	1.379329349	0.671
x658	1.373659332	0.672
x659	1.367984275	0.673
x660	1.362300814	0.674
x661	1.356609817	0.675
x662	1.350913608	0.676
x663	1.345208273	0.677
x664	1.339495703	0.678
x665	1.333777742	0.679
x666	1.328050038	0.68
x667	1.322315285	0.681
x668	1.316574956	0.682
x669	1.310824384	0.683
x670	1.305066824	0.684
x671	1.299303494	0.685
x672	1.29352955	0.686
x673	1.287748539	0.687
x674	1.281961561	0.688
x675	1.276163734	0.689
x676	1.270358616	0.69
x677	1.264547324	0.691
x678	1.258725098	0.692
x679	1.252895198	0.693
x680	1.247058909	0.694
x681	1.241211763	0.695
x682	1.235356387	0.696
x683	1.229494402	0.697
x684	1.223621809	0.698
x685	1.217740246	0.699
x686	1.211851845	0.7
x687	1.205953272	0.701
x688	1.200044792	0.702
x689	1.194129238	0.703
x690	1.188204145	0.704
x691	1.182268	0.705
x692	1.176324535	0.706
x693	1.170372377	0.707
x694	1.164407798	0.708
x695	1.158435646	0.709
x696	1.15245586	0.71
x697	1.146462069	0.711
x698	1.140460432	0.712
x699	1.134450895	0.713
x700	1.128428647	0.714
x701	1.122396706	0.715
x702	1.116356591	0.716
x703	1.110305318	0.717
x704	1.104242233	0.718
x705	1.098170689	0.719
x706	1.092089816	0.72
x707	1.085994723	0.721
x708	1.079890879	0.722
x709	1.073778207	0.723
x710	1.067651839	0.724
x711	1.061514799	0.725
x712	1.055368623	0.726
x713	1.049211185	0.727
x714	1.04304003	0.728
x715	1.03685942	0.729
x716	1.03066927	0.73
x717	1.024464099	0.731
x718	1.018248102	0.732
x719	1.012022231	0.733
x720	1.005784474	0.734
x721	0.999532111	0.735
x722	0.993269529	0.736
x723	0.986996632	0.737
x724	0.98070883	0.738
x725	0.974408521	0.739
x726	0.968097536	0.74
x727	0.961775583	0.741
x728	0.955436502	0.742
x729	0.949086373	0.743
x730	0.942725088	0.744
x731	0.936350704	0.745
x732	0.929960348	0.746
x733	0.923558446	0.747
x734	0.917144882	0.748
x735	0.910716596	0.749
x736	0.904272952	0.75
x737	0.89781724	0.751
x738	0.891349334	0.752
x739	0.884865646	0.753
x740	0.878366616	0.754
x741	0.871854967	0.755
x742	0.865330569	0.756
x743	0.858789948	0.757
x744	0.852233343	0.758
x745	0.845663543	0.759
x746	0.839080409	0.76
x747	0.832481292	0.761
x748	0.82586483	0.762
x749	0.819234569	0.763
x750	0.812590361	0.764
x751	0.805931152	0.765
x752	0.799252455	0.766
x753	0.792559325	0.767
x754	0.785851605	0.768
x755	0.779129136	0.769
x756	0.772387262	0.77
x757	0.765628753	0.771
x758	0.75885498	0.772
x759	0.752065775	0.773
x760	0.74525995	0.774
x761	0.738433445	0.775
x762	0.73159097	0.776
x763	0.724732347	0.777
x764	0.717857394	0.778
x765	0.710963631	0.779
x766	0.704049693	0.78
x767	0.697118856	0.781
x768	0.69017093	0.782
x769	0.683205719	0.783
x770	0.67622088	0.784
x771	0.669214918	0.785
x772	0.662191069	0.786
x773	0.655149129	0.787
x774	0.648088889	0.788
x775	0.641009744	0.789
x776	0.633906899	0.79
x777	0.626785118	0.791
x778	0.619644181	0.792
x779	0.612483864	0.793
x780	0.60530394	0.794
x781	0.598102219	0.795
x782	0.590877302	0.796
x783	0.583632096	0.797
x784	0.576366363	0.798
x785	0.56907986	0.799
x786	0.561772341	0.8
x787	0.554442643	0.801
x788	0.547087595	0.802
x789	0.5397108	0.803
x790	0.532312	0.804
x791	0.52489093	0.805
x792	0.517447324	0.806
x793	0.509980909	0.807
x794	0.502490209	0.808
x795	0.494973065	0.809
x796	0.487432321	0.81
x797	0.479867691	0.811
x798	0.472278887	0.812
x799	0.464665613	0.813
x800	0.457027572	0.814
x801	0.449364461	0.815
x802	0.441675189	0.816
x803	0.433957353	0.817
x804	0.426213577	0.818
x805	0.418443543	0.819
x806	0.410646927	0.82
x807	0.402823402	0.821
x808	0.394972634	0.822
x809	0.387094287	0.823
x810	0.379188018	0.824
x811	0.37125348	0.825
x812	0.363290319	0.826
x813	0.355296052	0.827
x814	0.347271965	0.828
x815	0.339218263	0.829
x816	0.331134577	0.83
x817	0.32302053	0.831
x818	0.314875742	0.832
x819	0.306699825	0.833
x820	0.298492388	0.834
x821	0.290253033	0.835
x822	0.281981356	0.836
x823	0.273676947	0.837
x824	0.265339391	0.838
x825	0.256968268	0.839
x826	0.248563148	0.84
x827	0.240123599	0.841
x828	0.231649181	0.842
x829	0.223139449	0.843
x830	0.214593948	0.844
x831	0.206012221	0.845
x832	0.197393802	0.846
x833	0.188738219	0.847
x834	0.180044992	0.848
x835	0.171313637	0.849
x836	0.162543659	0.85
x837	0.15373456	0.851
x838	0.144885833	0.852
x839	0.135996962	0.853
x840	0.127067428	0.854
x841	0.118096701	0.855
x842	0.109084244	0.856
x843	0.100029513	0.857
x844	0.090931957	0.858
x845	0.081791016	0.859
x846	0.072606123	0.86
x847	0.0633767	0.861
x848	0.054102166	0.862
x849	0.044781927	0.863
x850	0.035415384	0.864
x851	0.026001926	0.865
x852	0.016540613	0.866
x853	0.007027509	0.867
x854	-0.002534649	0.868
x855	-0.012146512	0.869
x856	-0.021808739	0.87
x857	-0.031522	0.871
x858	-0.041286971	0.872
x859	-0.051104341	0.873
x860	-0.060974808	0.874
x861	-0.070902993	0.875
x862	-0.080888202	0.876
x863	-0.090928979	0.877
x864	-0.101026068	0.878
x865	-0.111180224	0.879
x866	-0.121392212	0.88
x867	-0.131667172	0.881
x868	-0.142005514	0.882
x869	-0.152404414	0.883
x870	-0.162864691	0.884
x871	-0.173387172	0.885
x872	-0.18397862	0.886
x873	-0.194638217	0.887
x874	-0.205362981	0.888
x875	-0.216153799	0.889
x876	-0.227015958	0.89
x877	-0.237953372	0.891
x878	-0.248960012	0.892
x879	-0.260036823	0.893
x880	-0.271193569	0.894
x881	-0.282427177	0.895
x882	-0.293734353	0.896
x883	-0.305121004	0.897
x884	-0.316593372	0.898
x885	-0.328142894	0.899
x886	-0.339775443	0.9
x887	-0.351499051	0.901
x888	-0.363303595	0.902
x889	-0.375199129	0.903
x890	-0.387187179	0.904
x891	-0.399260159	0.905
x892	-0.411436926	0.906
x893	-0.423703389	0.907
x894	-0.436069116	0.908
x895	-0.448536475	0.909
x896	-0.461100809	0.91
x897	-0.473776794	0.911
x898	-0.486549871	0.912
x899	-0.499442548	0.913
x900	-0.512435018	0.914
x901	-0.525552799	0.915
x902	-0.538775851	0.916
x903	-0.552127512	0.917
x904	-0.565592896	0.918
x905	-0.579187591	0.919
x906	-0.592907645	0.92
x907	-0.606754924	0.921
x908	-0.620742604	0.922
x909	-0.634859481	0.923
x910	-0.649121334	0.924
x911	-0.663527322	0.925
x912	-0.67807482	0.926
x913	-0.692778298	0.927
x914	-0.707638165	0.928
x915	-0.722652948	0.929
x916	-0.737827653	0.93
x917	-0.753179394	0.931
x918	-0.768701223	0.932
x919	-0.784398028	0.933
x920	-0.800275456	0.934
x921	-0.816339345	0.935
x922	-0.832599031	0.936
x923	-0.849059868	0.937
x924	-0.865724588	0.938
x925	-0.882599771	0.939
x926	-0.899692213	0.94
x927	-0.917008931	0.941
x928	-0.934557173	0.942
x929	-0.952344423	0.943
x930	-0.970378411	0.944
x931	-0.988667118	0.945
x932	-1.007223529	0.946
x933	-1.026056851	0.947
x934	-1.045172465	0.948
x935	-1.064579536	0.949
x936	-1.084287527	0.95
x937	-1.104323099	0.951
x938	-1.124683797	0.952
x939	-1.145379141	0.953
x940	-1.166444644	0.954
x941	-1.187868804	0.955
x942	-1.209690216	0.956
x943	-1.231902482	0.957
x944	-1.254551092	0.958
x945	-1.277631685	0.959
x946	-1.301169143	0.96
x947	-1.32520099	0.961
x948	-1.349736271	0.962
x949	-1.374802397	0.963
x950	-1.400428224	0.964
x951	-1.426644124	0.965
x952	-1.453482059	0.966
x953	-1.480975666	0.967
x954	-1.50916034	0.968
x955	-1.538094257	0.969
x956	-1.567804134	0.97
x957	-1.598347359	0.971
x958	-1.629775947	0.972
x959	-1.662161398	0.973
x960	-1.695559644	0.974
x961	-1.730049775	0.975
x962	-1.765716687	0.976
x963	-1.802651488	0.977
x964	-1.840969467	0.978
x965	-1.880784485	0.979
x966	-10000000	1
