Symbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
GSM2235606	11.23845789	10.24233952	5.670973902	8.314701582	5.53431751	7.76819955	9.20168072	7.681497719	8.356704441
GSM2235607	10.0881499	10.62126239	5.587996943	9.061299933	5.71324722	8.296717324	9.047482193	7.404852267	8.138506905
GSM2235608	6.205576582	9.373291092	5.665226179	6.880980441	5.606821984	8.418537494	8.314072456	6.335295421	8.130032188
GSM2235609	12.89349007	10.4571965	5.498783712	9.286913592	5.256519973	8.259724688	9.164158283	7.54032672	8.15687993
GSM2235610	12.27865108	9.944064912	5.691045489	10.17696762	5.430926694	8.702754462	9.893290793	8.033993547	8.393415353
GSM2235611	10.94700335	10.12065663	5.542107838	8.257525523	5.49684392	8.745810269	9.364724219	7.967782131	7.449225607
GSM2235612	12.76678107	10.78763795	5.772610178	8.770889991	5.640503295	7.876251225	10.26818808	8.122807059	7.96838603
GSM2235613	11.42599137	9.202531615	5.587323465	9.343432182	5.595784672	9.286009561	9.251841612	6.15971821	8.44647829
GSM2235614	9.080717449	10.12413568	5.570461021	7.787853707	5.561338991	8.489648121	8.928207838	6.713831421	7.373964736
GSM2235615	9.38211898	10.11905747	5.594010299	7.77337978	5.606775097	7.95322496	8.511823066	7.233180399	8.256846524
GSM2235616	12.07315101	9.887895831	5.528347815	9.193651715	5.395555456	8.283983243	9.25498269	6.719623713	8.329314747
GSM2235617	10.15572172	9.1739183	5.568713961	8.115356453	5.638692997	8.469405529	9.680872681	6.855318772	8.01762843
GSM2235618	7.832213797	9.738500721	5.619749624	7.178800552	5.59806829	7.875309923	8.745491324	6.530977562	8.114044094
GSM2235619	10.69913666	9.249442011	5.460830107	7.869240268	5.463993607	7.712309386	9.381693346	6.736031011	7.555795824
GSM2235620	9.216084909	10.29574	5.526340216	10.03172538	5.855450536	8.86002633	8.39677671	10.11241865	7.518492189
GSM2235621	12.55932959	8.967959453	5.429876911	7.45189584	6.08619379	7.542357404	9.387715624	6.327251424	8.876090836
GSM2235622	12.71385162	10.35445955	5.504255842	8.149404959	5.646316293	7.733697111	9.506895469	7.849914612	8.386672142
GSM2235623	6.596528146	9.997334557	5.663313031	10.56766844	5.580459381	8.440382473	8.798336019	6.162789891	7.89078482
